,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
93,Butaritari,KI,172.7902,3.0707,79,81.72,16.71,100
94,Husavik,IS,-17.3389,66.0449,87,38.79,25.39,100
95,Atuona,PF,-139.0333,-9.8,70,78.96,18.39,8
96,Punta Arenas,CL,-70.9167,-53.15,66,50.11,30.36,100
97,Grootfontein,NA,18.1167,-19.5667,76,69.55,1.14,92
98,Meulaboh,ID,96.1285,4.1363,86,79.36,12.33,100
99,Verkhoyansk,RU,133.385,67.5447,100,-41.89,1.7,50
100,Miracema do Tocantins,BR,-48.3967,-9.5618,97,71.17,2.51,99
101,Lázaro Cárdenas,MX,-102.2,17.9583,79,72.72,4.97,14
102,Seda,LV,25.75,57.65,94,29.05,5.37,100
103,Indramayu,ID,108.32,-6.3264,71,84.58,11.5,95
104,Waipawa,NZ,175.5153,-41.4122,73,66.83,2.28,15
105,Phek,IN,94.5,25.6667,28,64.9,1.45,0
106,Ak-Dovurak,RU,90.6,51.1833,89,4.57,1.01,35
107,Saint Anthony,US,-93.218,45.0205,68,1.33,4,0
108,Ostrovnoy,RU,39.5131,68.0531,74,24.98,10.18,100
109,Cidreira,BR,-50.2056,-30.1811,81,70.68,12.19,53
110,Jinchang,CN,102.1739,38.4953,36,31.96,6.35,0
111,Riyadh,SA,46.7219,24.6877,23,65.71,11.99,0
112,Novikovo,RU,37.8879,51.1537,97,26.31,7.78,100
113,Tuktoyaktuk,CA,-133.0374,69.4541,99,-27.42,7.49,90
114,Kyrylivka,UA,35.3675,46.3759,92,42.96,10.94,100
115,Hermanus,ZA,19.2345,-34.4187,75,72.81,11.79,4
116,Rawson,AR,-65.1023,-43.3002,58,65.84,4,0
117,Sobolevo,RU,31.8996,54.4299,96,21.38,9.69,100
118,Banda Aceh,ID,95.3222,5.5577,76,81.41,4.29,58
119,Tautira,PF,-149.15,-17.7333,92,77.02,27.67,97
120,Gobabis,NA,18.9667,-22.45,58,73.38,7.65,100
121,Tocopilla,CL,-70.1979,-22.092,75,68.49,2.66,75
122,Bantry,IE,-9.45,51.6833,90,53.55,12.75,100
123,Saint-Philippe,RE,55.7679,-21.3585,79,83.79,14.27,100
124,Lebu,CL,-73.65,-37.6167,95,57.07,6.96,12
125,Taltal,CL,-70.4833,-25.4,85,65.39,1.28,35
126,Havre-St-Pierre,CA,-63.5986,50.2334,80,26.96,19.57,100
127,Careiro da Várzea,BR,-59.8119,-3.2003,92,77.61,3.13,98
128,Yerbogachën,RU,108.0108,61.2767,78,-1.46,9.46,100
129,Longyearbyen,SJ,15.6401,78.2186,79,17.44,3.44,75
130,Cape Town,ZA,18.4232,-33.9258,79,69.28,1.99,75
131,Ribeira Grande,PT,-28.7,38.5167,76,62.1,23.58,100
132,Alta Floresta,BR,-56.0861,-9.8756,99,67.32,3.4,100
133,Hong Kong,HK,114.1577,22.2855,76,70.97,1.01,95
134,Vilyuysk,RU,121.6247,63.7553,97,-30.39,3.62,18
135,Devonport,AU,146.35,-41.1667,74,74.01,7.61,100
136,Bengkulu,ID,102.2655,-3.8004,70,83.64,7.63,98
137,Senanga,ZM,23.2667,-16.1167,86,71.29,7.83,100
138,Linxia Chengguanzhen,CN,103.2064,35.6003,44,30.7,1.88,0
139,Cabatuan,PH,122.486,10.8794,69,84.42,9.75,93
140,Ayan,RU,138.1667,56.45,75,-3.59,14.29,100
141,Pontes e Lacerda,BR,-59.3353,-15.2261,99,70.59,3.06,93
142,Carnarvon,AU,113.6333,-24.8667,51,86.07,19.57,0
143,Constantine,DZ,6.6147,36.365,66,51.21,3.44,75
144,Palu,ID,119.8707,-0.8917,73,85.8,4.52,50
145,Solnechnyy,RU,136.6319,50.7214,100,-8.45,2.95,99
146,George Town,MY,100.3354,5.4112,61,91.33,3,20
147,Chokurdakh,RU,147.9167,70.6333,95,-24.79,8.5,18
148,Qasigiannguit,GL,-51.1922,68.8193,86,16.05,5.17,100
149,Betlitsa,RU,33.9588,54.0095,95,22.3,7.14,100
150,Amahai,ID,128.9167,-3.3333,66,86.45,6.06,64
151,Alofi,NU,-169.9187,-19.0595,94,76.89,8.05,100
152,Mandalgovi,MN,106.2708,45.7625,49,16.45,10.85,0
153,Flinders,AU,150.8552,-34.5833,79,82.8,9.15,94
154,Trelew,AR,-65.3051,-43.249,54,66.52,2.51,0
155,Margate,GB,1.3862,51.3813,80,38.95,4.99,27
156,Soria,ES,-2.6667,41.6667,97,46.0,11.88,100
157,Souillac,MU,57.5167,-20.5167,89,81.36,5.75,75
158,Nanortalik,GL,-45.2371,60.1432,74,18.68,26.37,90
159,Korzhevskiy,RU,37.7195,45.1941,75,52.25,8.25,12
160,Aquiraz,BR,-38.3911,-3.9014,82,80.69,7.25,100
161,Port Lincoln,AU,135.8667,-34.7333,45,82.8,9.42,9
162,Hithadhoo,MV,73.0833,-0.6,71,82.45,6.96,16
163,Entre Rios,BR,-38.0844,-11.9419,99,70.38,1.41,98
164,San Policarpo,PH,125.5072,12.1791,75,81.5,5.21,98
165,Goderich,CA,-81.7165,43.7501,72,21.9,27.47,100
166,Bilma,NE,12.9164,18.6853,26,48.87,9.78,0
167,Tilichiki,RU,166.1,60.4667,93,-8.39,8.3,5
168,Pevek,RU,170.3133,69.7008,96,-11.56,4.47,100
169,Saint Paul,US,-93.0933,44.9444,65,2.12,13.8,0
170,The Valley,AI,-63.0578,18.217,70,77.09,19.04,0
