,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
93,Avarua,CK,-159.775,-21.2078,83,78.85,13.8,40
94,Arlit,NE,7.3853,18.7369,8,79.63,3.49,80
95,Perth,AU,115.8333,-31.9333,47,87.8,18.41,0
96,Vostok,RU,135.8833,46.4856,99,-24.3,4.25,98
97,New Norfolk,AU,147.0587,-42.7826,57,56.7,0.34,64
98,Kandrian,PG,149.55,-6.2167,88,78.98,4.97,99
99,Hobart,AU,147.3294,-42.8794,73,57.06,8.05,0
100,Carnarvon,AU,113.6333,-24.8667,83,75.27,24.16,75
101,Butaritari,KI,172.7902,3.0707,79,81.1,9.4,96
102,Cururupu,BR,-44.8683,-1.8283,80,81.05,6.49,100
103,Nurota,UZ,65.6886,40.5614,55,41.09,5.68,4
104,Härnösand,SE,17.9379,62.6323,69,33.01,18.88,100
105,Grand Forks,US,-97.4337,47.9417,92,17.53,3.44,40
106,Guerrero Negro,MX,-114.0611,27.9769,78,61.61,10.33,100
107,Warrington,GB,-2.5802,53.3925,96,47.86,1.01,90
108,Upernavik,GL,-56.1549,72.7868,71,18.61,5.97,51
109,Deputatsky,RU,139.9,69.3,97,-33.16,5.57,91
110,Linxi,CN,118.4333,39.7,37,26.06,13.87,100
111,Castro,BR,-50.0119,-24.7911,80,66.83,5.53,92
112,Yurino,RU,46.3039,56.2942,97,-13.68,6.29,85
113,Shestakovo,RU,103.96,56.4915,99,-25.64,1.9,5
114,Elban,RU,136.5094,50.1018,99,-23.6,1.45,84
115,Hermanus,ZA,19.2345,-34.4187,75,78.91,18.72,100
116,Santarém,BR,-54.7083,-2.4431,100,77.13,1.14,75
117,Jacqueville,CI,-4.4146,5.2052,73,87.71,11.18,50
118,Yanta,CN,115.6672,36.2411,71,40.75,12.26,100
119,Lagoa,PT,-27.9833,39.05,65,56.66,35.97,89
120,Tasiilaq,GL,-37.6368,65.6145,49,24.96,4.12,0
121,Oodweyne,SO,45.064,9.4092,20,86.99,6.91,63
122,Novy Urengoy,RU,76.6333,66.0833,92,14.29,23.0,100
123,Lüderitz,NA,15.1594,-26.6481,56,73.53,12.91,100
124,Mount Isa,AU,139.5,-20.7333,31,91.17,8.05,74
125,Broken Hill,AU,141.4333,-31.95,23,82.11,1.14,87
126,Flinders,AU,150.8552,-34.5833,87,74.21,7.05,99
127,Alice Springs,AU,133.8833,-23.7,69,76.55,11.5,90
128,Nyurba,RU,118.3319,63.2842,100,-31.43,3.85,86
129,Abhā,SA,42.5053,18.2164,55,67.82,17.27,40
130,Eyrarbakki,IS,-21.1481,63.863,73,40.24,12.66,99
131,Ballina,AU,153.5667,-28.8667,91,73.36,6.91,76
132,Nioki,CD,17.6833,-2.7167,70,82.08,6.29,100
133,Barra de Tecoanapa,MX,-98.75,16.5167,83,74.41,3.91,0
134,Los Llanos de Aridane,ES,-17.9182,28.6585,89,64.15,3.0,40
135,Lavrentiya,RU,-171.0,65.5833,95,-3.21,6.15,100
136,Dalbandin,PK,64.4101,28.8947,21,70.16,6.78,98
137,Miles City,US,-105.8406,46.4083,69,29.37,8.05,1
138,Katsuura,JP,140.3,35.1333,63,49.19,8.16,99
139,Maragogi,BR,-35.2225,-9.0122,75,82.04,10.83,100
140,Kiruna,SE,20.2251,67.8557,85,2.32,6.91,75
141,Esperance,AU,121.9,-33.8667,82,67.84,15.55,10
142,Purulhá,GT,-90.2,15.2667,97,48.11,1.9,95
143,Pevek,RU,170.3133,69.7008,99,-17.48,4.29,100
144,Mahébourg,MU,57.7,-20.4081,66,88.09,12.66,75
145,Narsaq,GL,-46.05,60.9167,57,41.22,11.9,100
146,Bambous Virieux,MU,57.7575,-20.3428,66,88.05,12.66,75
147,Kabare,CD,28.8242,-2.4683,77,72.0,3.24,99
148,Kiryat Gat,IL,34.7642,31.61,17,61.79,9.8,100
149,Faanui,PF,-151.75,-16.4833,77,80.37,12.5,87
150,Marzuq,YE,46.4667,14.4,25,80.62,5.41,2
151,Barra do Garças,BR,-52.2567,-15.89,92,75.06,4.45,100
152,Ouargaye,BF,0.0572,11.5033,13,89.62,14.14,3
153,Vengerovo,RU,76.7471,55.6848,99,8.82,3.53,70
154,Hammerfest,NO,23.6821,70.6634,86,20.93,0.0,75
155,Altamont,US,-121.7372,42.2068,95,34.39,10.36,90
156,Coquimbo,CL,-71.3436,-29.9533,88,60.53,4.61,90
157,Port Alfred,ZA,26.891,-33.5906,74,64.6,14.65,100
158,Outlook,CA,-107.0513,51.5001,97,15.49,9.91,95
159,Tabas,IR,56.9244,33.5959,20,59.88,2.15,0
160,Maputo,MZ,32.5892,-25.9653,58,83.88,10.36,20
161,Hithadhoo,MV,73.0833,-0.6,70,82.08,2.91,72
162,Margate,GB,1.3862,51.3813,86,47.97,7.0,100
163,Zarubino,RU,131.0922,42.63,49,16.3,10.36,95
164,Ancud,CL,-73.8203,-41.8697,88,56.43,4.92,47
165,Tuatapere,NZ,167.6833,-46.1333,84,53.82,3.02,55
166,Mae Hong Son,TH,97.9685,19.3003,50,78.94,3.44,20
167,Keetmanshoop,NA,18.1333,-26.5833,9,82.24,7.74,28
168,Qaryat Sulūq,LY,20.2521,31.6682,67,59.34,4.03,100
169,Champerico,GT,-91.9167,14.3,83,80.35,4.38,6
170,Avera,US,-82.5271,33.194,60,39.07,5.99,0
171,Geraldton,AU,114.6,-28.7667,69,75.61,19.57,0
172,Skerries,IE,-6.1083,53.5828,86,55.09,15.41,100
173,Poddor'ye,RU,31.1156,57.4695,83,16.16,12.06,88
174,General Roca,AR,-67.5833,-39.0333,37,79.63,16.11,0
175,Tuktoyaktuk,CA,-133.0374,69.4541,97,-8.16,10.49,100
176,Hobyo,SO,48.5268,5.3505,63,81.32,20.27,95
177,Provideniya,RU,-173.3,64.3833,98,0.39,8.77,99
178,George Town,MY,100.3354,5.4112,75,84.15,7.0,20
179,Caravelas,BR,-39.2481,-17.7125,66,84.42,11.23,91
180,Clyde River,CA,-68.5914,70.4692,66,1.63,9.22,88
181,Camaná,PE,-72.7111,-16.6228,75,68.22,2.55,98
182,Aklavik,CA,-135.0107,68.2191,93,-10.37,1.19,100
183,San Quintín,MX,-115.95,30.4833,73,58.82,3.91,100
184,Vyartsilya,RU,30.693,62.1764,95,24.67,9.1,100
185,Spearfish,US,-103.8594,44.4908,35,42.21,5.99,1
186,Abu Dhabi,AE,54.3667,24.4667,58,78.91,3.0,0
187,Nouakchott,MR,-15.9785,18.0858,28,80.2,14.99,0
188,Saskylakh,RU,114.0833,71.9167,100,-36.18,0.67,45
189,Longyearbyen,SJ,15.6401,78.2186,56,4.84,12.66,0
190,Kaeo,NZ,173.7833,-35.1,84,67.32,4.79,99
191,Vitim,RU,112.5578,59.4511,99,-18.67,3.49,99
192,Camargo,MX,-105.1667,27.6667,23,56.14,4.81,87
193,Orshanka,RU,47.8933,56.9161,98,-8.59,5.28,79
194,Talnakh,RU,88.3972,69.4865,78,11.21,17.16,100
195,Fairbanks,US,-147.7164,64.8378,84,6.3,0.0,90
196,Te Anau,NZ,167.7167,-45.4167,90,45.37,1.88,27
197,Half Moon Bay,US,-122.4286,37.4636,93,59.29,4.0,90
198,Makkah al Mukarramah,SA,39.8261,21.4267,46,78.03,7.74,54
199,Kruisfontein,ZA,24.7314,-34.0033,82,62.89,13.78,100
200,Astoria,US,-123.8313,46.1879,90,45.86,5.01,90
201,Touros,BR,-35.4608,-5.1989,62,85.1,12.06,86
202,Kahului,US,-156.47,20.8947,87,71.83,14.97,1
203,Dudinka,RU,86.1778,69.4058,63,11.62,27.76,100
204,Vanimo,PG,141.3028,-2.6741,85,79.27,10.76,100
205,Amapá,BR,-52.0,1.0,95,75.63,2.73,100
206,Cidreira,BR,-50.2056,-30.1811,71,72.5,11.9,51
207,Hualmay,PE,-77.6139,-11.0964,89,67.5,3.53,55
208,Seoul,KR,126.9778,37.5683,60,35.17,3.44,0
209,Mossamedes,AO,12.1522,-15.1961,61,77.63,13.8,0
210,Pangody,RU,74.4859,65.85,92,21.02,23.35,99
211,Richards Bay,ZA,32.0377,-28.783,68,78.4,12.12,81
212,Ribeira Grande,PT,-28.7,38.5167,72,59.4,25.32,40
213,Anadyr,RU,177.4833,64.75,85,1.9,8.95,20
214,Hay River,CA,-115.7999,60.8156,77,-9.42,3.44,75
215,La Rioja,ES,-2.5,42.25,58,47.05,3.13,83
216,Birao,CF,22.7882,10.2849,12,93.58,10.2,4
217,Saint-Philippe,RE,55.7679,-21.3585,78,85.21,1.59,100
218,Quang Ngai,VN,108.8,15.1167,93,71.71,3.53,82
219,Mae Sai,TH,99.8762,20.4335,71,72.72,1.32,71
220,Hofn,IS,-15.2082,64.2539,64,35.62,12.66,20
